component,oxalic acid,lactic acid,Alanine,glycine,alpha-hydroxyisobutyric acid,N-acetylglycine,acetic acid,beta-hydroxyisobutyric acid,Valine,2-aminobutyric acid,Urea,Leucine,Phosphoric acid,glycerin,isoleucine,Proline,Glyceric acid ester,Glyceric acid,isosuccinic acid,Fumarate,Serine,Threonine,Amino malonic acid,Pyroglutamic acid,"2,3,4-trihydroxybutyric acid",citrulline,glutamate,Phenylalanine,ribitol,Lysine,hypoxanthine,Ornithine,Citrate,"1,5-dehydrated sorbitol",fructose,galactose,glucose,Mannose,Tyrosine,allonic acid,alpha-D-galactose pyranose,9-hexadecenoic acid,Palmitic acid,Inositol,Uric Acid,tryptophan,linoleic acid,oleic acid,stearic acid,arachidonic acid,Palmitate glyceride,Glyceryl Monostearate,Cholesterol
n166,16182844,81698032,8942369,5729337,2725056.75,2850161.75,2206858,1965280.25,5761934,3564090,9544992,3058916.5,0,5058106,2791767,6493770.5,33510.96094,976146.9375,1727288.5,2349555.5,3332481.25,4302294,1269918.25,9196752,1822352.5,3028448.5,2625348.5,2898712,1671282.375,2893217,2497414,0,2735266.75,7266338,1921352.625,2563859.25,105002656,18753852,2315202.75,2173790.25,2245569.75,0,7482574.5,1873095,3866672,0,7269459,4787387,4664429,2950976,3025607.25,2607301,11317528
n168,15542178,62536304,7081838,6017437,2880703.5,2795730.75,2339747.75,2125236.5,4856999,3596469.25,10329413,2654999.5,0,5376597.5,2543471.5,4908362.5,2945564.25,3388249.75,1821715.875,2246704.5,3387035.25,4183794.25,1865028.875,6273002.5,1858195.5,2645265,2241215.5,2509182.5,2293705,2393755.5,2766268.25,0,2742250.25,6826142.5,2302620.5,2739138.25,114691576,20605620,2082527,2091127.75,2001183.75,2130309.5,7739157.5,1988197.5,2756145.25,0,6538629,4916418.5,4619093.5,1952864.75,2634415.5,0,10034505
n173,14185256,91666120,5735314,5080552.5,2874599.5,2815662.5,1803668.375,4617000,5194552,3343344.25,5700710,3487721.75,0,7431263.5,2366970.25,3215778.75,3107529.5,1298837.875,1759232.75,2318556.75,3704116.25,4177228,2013821,7537466.5,1728006.375,2909011.5,2322928.75,2629059.75,3027552.25,2710823,2344189.5,0,2838295.25,7328604,2452441.25,2468345.75,89615864,16470997,2081706.5,2170653.75,0,2113421.25,15087230,2015530,2711179.75,0,9635866,13057748,5595296.5,3001198.5,2869829.5,0,4413430
n178,15984821,610950.5625,5529812,4561965,3443526,2878303.5,1847394.625,4344982,5217263,3611057.75,12874989,0,4655747.41,2868362.426,2389774.75,3040832.5,2033017.125,2721515,2293877,2358059.5,3284376.75,3869057.25,2791177.25,8520892,1878606.625,2684180.25,2091805.25,2944360.5,2154594.25,2736783,2915245.25,2876785.25,0,5027204.5,2127383,2813650,117125776,21323164,2055280.125,2098774.75,1799198.25,2487435.25,10047518,2062329.25,4732764.5,7514829,0,6718689,4998206,2796839.25,2746444,2938135.25,14995288
n183,13621988,72037544,7494905,4296803,2945961,2841261.5,1840916.875,2152729.25,5831154,3410808.5,26924780,3558721.25,0,4488379,2567825.25,4540355,84753.75,1519779.25,2440568.75,2191777.25,2847952.75,4172263.75,1232657.125,6095952,1643056.875,2739798.5,2249950.25,2789893.25,1791544.125,3076274.75,2345543.25,0,2648665,4634359.5,2224286.25,2573450.75,88146328,16356054,2256003.5,1974631.375,0,2592265.5,9257510,1910587,3521014.75,0,6743753,5785210.5,4862756.5,3089249,2678913,0,11082665
n186-2,16266684.98,47718288,6461610,4799970,2672627.25,2747824.25,1919142.625,2513116,4483894,3569728.75,29722078.8,0,0,6681278.5,2285930.25,3639726.25,1791216.25,1057817.25,2079530.875,2322126.5,3399873.5,3732033,1579670,7279156,3215640.5,1715283.25,1927027.25,2543628,2279538.5,1744361.875,1850919.75,0,3007613.5,6757899,2170247,2282490.5,93596696,16301742,2324489,2119136.75,1493795.125,2486272,10080660,2043943.75,5774580,0,7072163,6157617,4605995,2749184,2965124.75,784508.625,11403262
n188,18619390.57,92507168,9051200,4541062,2943512.25,2978714.25,2093032.25,2274581.5,6313896,3784940.5,21312530,3394609,6330990,0,2782975.25,5143610.5,3070753,1328752.25,2166558,1836898.625,3326414.75,4161357.75,1165665.75,8398026,1966505.5,2577479.25,2726995.75,2801796.5,2620507.5,2368830.5,2620570.25,2960073.25,0,7036723.5,2123276.5,2640998.75,114459016,20787450,2389782,2051235.375,1846482.625,2308854.75,9802077,2057864.5,3470108.5,0,8836536,6623305,4954348.5,1922343.625,2765610.75,2447454.25,11287027
n198,15657833,118848336,8074475,5653839,2619157.5,2722394.75,2237214,1758784.75,5140247,3283763.75,43930332,3232127,0,5773909.5,2819641.5,10217734,63586.22656,1214787.75,2002090.75,1724378.75,3638838.5,4171369.5,3217480.25,8663274,1926061.375,2828801.5,2795248.5,2559979,2812822.75,3011695.75,2219849,0,2657648,6938894.5,1574802.875,2227295.25,69185120,11770038,2401863,1846992.5,0,0,8316830.5,1902879.375,4159842.75,0,6715827.5,4600406,4522008.5,1854571.375,3032847,2462467.25,11323092
n199,17220191.48,97494356.47,7341840.5,5891065,2860700,2835100.75,1846604.625,2173536.75,5151397.5,3559065.5,30548301.64,0,3126156.165,3671851.532,2498118.75,4657352,13018.81543,1333817.75,1747048,2189946.75,4160165.5,4182789.75,3197852.25,7992714,2089442.875,2876699,2746675.75,2755633,2744124.25,2874212,2126969.25,0,2265236.75,5218731,1533680.75,2254332.5,90271624,15746161,2319367.5,1985924.375,2374247.5,0,6757609.5,1971854.75,3294043,0,5767308.5,4078113.75,3932464,3292189.25,2821518.5,0,11070645
n212,11268476,48148956,6168106,4073600.25,2736828.5,2805415.75,1796373.25,2048007.75,4916357,2898691.25,36176940,0,2651907,5821258,2481199,3832644.25,3494628.25,1331710.625,1565180.25,2042478.875,3331505.25,3796121.25,2937810.25,7369815.5,1798120.75,2581823.5,2104313.5,2261799,2535082.75,2525521.5,2397282,0,2300669,5981650.5,2659741.75,2267639.5,86935696,15684109,1985364.25,1859850,0,2791193.25,7520494,1649514.375,2478533.5,0,6704104.5,5480411,4311458.5,3329401.25,2498769,0,12713987
