component,oxalic acid,lactic acid,Alanine,glycine,alpha-hydroxyisobutyric acid,N-acetylglycine,acetic acid,beta-hydroxyisobutyric acid,Valine,2-aminobutyric acid,Urea,Leucine,Phosphoric acid,glycerin,isoleucine,Proline,Glyceric acid ester,Glyceric acid,isosuccinic acid,Fumarate,Serine,Threonine,Amino malonic acid,Pyroglutamic acid,"2,3,4-trihydroxybutyric acid",citrulline,glutamate,Phenylalanine,ribitol,Lysine,hypoxanthine,Ornithine,Citrate,"1,5-dehydrated sorbitol",fructose,galactose,glucose,Mannose,Tyrosine,allonic acid,alpha-D-galactose pyranose,9-hexadecenoic acid,Palmitic acid,Inositol,Uric Acid,tryptophan,linoleic acid,oleic acid,stearic acid,arachidonic acid,Palmitate glyceride,Glyceryl Monostearate,Cholesterol
x20,14963142,96967536,4988607,3952905.25,3278726,2864365,1952103.625,2355348.5,4748531,3406503.5,2831788,0,2921193.25,5722943,2417992.5,3729420,3305496.25,1483016.375,1720547.375,2438833.75,3156777.75,4658340.5,1369119.5,5567043,2175067,2620437,2256944.5,2899909.5,2459594.5,2592836.75,2652561.5,0,2453999.5,4906055.5,2488996.25,1775083.875,35059624,6318772.5,2555680.75,0,0,1991090,8238674.5,1777135.125,2634200,0,7627754,5452146,4708040,2874970,7595063.5,5347828.5,11628857
x21,11730132,84683176,7739533.5,4570550,2795787,2736979.25,1857591.375,1950503.25,4327057,2953249.75,28600552,0,2693379.449,4769904.669,2300744,4274898.5,3478684.5,2299579.25,2367573.5,2227254.75,2812899.75,3698629.25,1131511.375,6114099,1355999.5,2651321.5,2260530.75,2692316.75,2180370,2784944.5,2494305.25,0,2234190.5,5508721,2342932.25,2461861,83408232,14721872,2304581.5,1956014.875,0,2417337,8363541,2119538,3633233.75,0,7076757,5186159,4693042,2821986.75,7423186,5324819.5,12555403
x210,16138238.52,88354600,4458495.5,3163174.75,3980991.25,2730037.5,2055648,5131434.5,7114735,3326909,15667197.46,0,4198989,5133260,2797619,3420184.75,3435230.25,3224272.75,1704773.5,1720679.25,2615479.75,3006331.25,1705301.75,5218321.5,2465489.5,2513800,2452501,2670489.5,842940.3125,2190916.25,2483285.25,0,2440654,3820459.5,2276337.25,2945665,82815168,14226603,2113736.75,1896496,1402556.75,2268245.75,9093196,1796181.625,2353579.5,0,6770513,6848472.5,4730110,2831489.25,7066828,5102591.5,10220159
x222,6170824,104752744,10624936,5352971,2644650.5,2809400.5,1861430.25,2078996.625,4942074,3429438.5,1837053.375,7236850.5,2416436.25,0,2317348,7040708.5,3057129.75,2899418.75,1724010.5,2104948.75,3810329.25,4145630.75,1699361.25,7921810,1194476.875,4226675.5,2646495.25,2672968.75,1521550.125,2608088.5,2423194.5,3790986.25,0,14762302,2343847.5,2394396.25,71825704,12329253,1999803,1721624,0,2471035.5,6523773.5,2100469.75,3232355.75,5051970,0,5678315,4322715.5,2901966.25,7350215,5387981,11041311
x226,11991331,80933072,5774269,3726750.5,2456989,2910625,2146814,2315072.75,3247523,3434010.5,14481935,2327146.75,4987185.5,0,2350083,2593640,1432147.875,3472310.5,1773348.75,2168202,3037099.25,4004976.75,1361268.75,6443448.5,1515238.25,1730952.25,2055687,2331959,1622674,1906075.25,1595344.375,2600326.75,0,4903092.5,2270291.25,2191297.5,77805408,13155903,2170395.25,1740475,0,2489606.5,7576296.5,1871423.875,2957185.25,6396728,0,5013844,4263357,2941244.5,7954577,5720503.5,13604890
x227,6138487,90940904,6514226,4652093.5,2597493,2822074.75,2079159.375,2205483.5,4362701,3781881,1206054.75,3079329.5,0,5539069,2552556,3280467,3238049.75,2496388,1734057.25,2314493,3112812.5,3546643.75,1866996.875,8940918,1832068.625,2735289,2875774,2642000.5,2126660.75,2483936.75,2538098.75,3141661.75,0,2167174,1784751.5,3603154.5,183062016,36876012,2454025.5,2609589,1823024.125,2296203.5,6145219.5,1953927.25,2658169,5319057.5,0,5048453,3717042.25,2846132,6933746,4980224.5,10096006
x26,11254806,106094136,4948137,3806474.25,2553666.75,2788768,2310970,2463560.75,3104721,3214194.75,38214724,0,2731480.5,4441765.5,2500394.5,2376060.5,1147745.125,1058870.75,1694601,2187526.25,3089155,4173481.25,1749952.75,7172074,1785851.875,1763973.75,2063428.375,2268934.5,1699370.125,1974030.625,2424512,0,2512684.25,5110213.5,2313171.25,2382962.75,72412904,11998203,2025295.5,1837730.75,0,2614308.75,8354100.5,1974337.375,2890673,0,6782790,6688649.5,4503846,1868943.5,5458901.5,4154878,9698016
x27,13979772,133794008,9081770,3928800.5,3076618.75,2865825.25,1950285.75,2587652.25,6299205,3418906.5,19515864.14,3828144.5,0,5571363.5,2992975,4224969.5,1458333,1050419.125,1757514.5,2126845.25,3111251.25,3915510.75,1186188,6037596,2439612.5,2318126,2712268.75,2696543,2319638,2392823.75,2267746.75,0,3029391.75,7614432.5,2331812.25,2170022,61202604,10338887,2507190.25,1998045.25,0,2621292,9508614,2025754.375,4799839.5,0,6217714,6112815.5,4986898.5,3212831.25,7422756,5386481,15178818
x35,14990051,88348176,5379312.5,3684702.25,2787721.25,2790183.75,2282888.25,1866708.25,4292429.5,3433155.75,23720830,0,2625927.585,3771593.814,2218301.25,3270051,2833728.5,3008444.5,1713641.125,2152277.75,2764548.75,3574088.25,1165599.75,5057117.5,1382876.75,2166233,2206100,2211062.25,1986717.125,2136517.5,2136546.5,0,2562349,5049908.5,2467477.5,2253429.75,73633656,12054767,1965198.875,1814502.875,0,2273640.5,7763853.5,1857521.75,2865929,0,6997388,5459832.5,4559850.5,1958866.25,7390327,5575147,11677834
x36,11836076,82872568,7385705,4221587,2407614.5,2804254.25,1568606.375,2931503.5,4530417,2978697.5,19499322,4268814.942,2861303.197,0,2383938.25,3188767.75,2774489.5,3383557.5,1606608.25,2196893.25,3544807.5,3896950,6732178,7397312.5,2030220.125,2607770,2444798.75,2620458.25,2185925.75,2432049.5,2265383,2930297.5,0,5168551,1987596,2308026.5,67307720,11927130,2292513,1564213.375,0,0,7486849,2094905,3539718.5,0,6939283,4989263.5,4312293,2985253.5,7054239,5127468,7829629.5
x38,20189578.92,100483504,5744338,3696854.5,2885523,2783537.5,2628965,2875422.5,4774063,3295000.5,10714516,2562388.475,3445556.288,3154858.605,2287257,3764664,2149956.75,1229176.875,1795923,0,2956867.25,3198279.75,2019534,6684369,1480763.125,3271778.5,2595618.25,2519664,1627463.25,2453482.75,0,0,2945996.5,3739155.25,2554224.75,2416940.25,69293424,11804822,2021163.25,1807430.125,0,2355761.25,9300374,1940435.375,2568222.5,0,7258496,8967940,5100178,2878330.25,6947949,5267797,10829173
x40,16052678,144115184,8237021,4364542,2694213,2812741.5,2263265.25,2051271.5,5811717,3779380.75,16996714,3557657,0,5461197,2817835.75,5350511,2950470,3088896.25,1766790.5,2077763.25,3776497,3995200,1785652.25,7447393.5,1944750,2743898.75,2705257.75,2804761,1584260.75,2929735.5,1429925.75,3066670.25,0,6379049.5,2324810.5,2238904.5,75433024,13077885,2544140,2122795.25,0,2323330.75,8945101,2110490.75,3451978.5,0,9026756,5214694.5,4827331,2828792,7296118,5506504.5,8830822
x41,14443785,104979176,5262883.5,4111888,2829285.25,2770229.5,1842907,3040217.25,4611935.5,3451080.5,8210402.5,0,5858048,2671328.75,2270307.75,3052198,2100947.75,1254014,2381274.5,2447290.5,3112035,3662472.25,2818120,6182363.5,2910279.5,2343485.75,2000498,2552128,2446337.75,2599232.75,0,0,2083171.625,5690701,1938760.375,2553434.25,57116160,10460750,1988558,1731711.625,0,2505210.75,7662669.5,2209205.75,2251950,0,5055812,6632332,3364489.75,3037808.25,6108673.5,4549829.5,11835660
x43,12018739,121577400,7114238,3447257,2974698.75,2678371.5,2061200.75,1983771,4044643.75,2630468.5,8790595,0,3423492.5,5556134,2449337.75,3667566,919414.5,1416478.875,2060685.875,2221815.75,2868889.25,3393633.75,1671891,4067970.75,532006.375,2299315,2419696.75,2702220.75,2250649,2361412.75,1830966.875,0,2574395.75,5657521.5,2292506,2128324.75,38864816,7171246.5,2330556,0,0,2609634.5,8323581.5,1944891.875,4458265.5,0,7502167,5391260.5,4142831,1967653.5,6861602.5,5125682.5,9549712
x44,12727022,125396688,7399977,4509445.5,3187897.75,2993460.25,1946400.875,3598023.5,4822840,3057442.25,35527068,3718168.25,0,5085388.5,2524345.5,3866461.25,2193158.75,1224274.625,1637329,2327134,3639995.5,4125098.5,2145961,6932028,1733037.125,3074514,2774492,2810631.25,1542760.75,3424908.75,2637084.5,0,2634585.75,7257451,1524593,2219924.25,46370484,8508004,2248357.75,1337185,0,1756019.375,9500162,1834626.625,3410300.25,0,7697986,7831784,4432384.5,1662471.875,7194953.5,5149437,12562259
x45,17181480,100750464,6352247,4666081,2864415,2904428.5,2334141.5,1995002.625,4010517,2910422.5,4901861,0,2727248.75,6344163,2089605.625,3780893.75,705749.375,3664922.5,1669875.5,0,2749279,3297829.75,1543619.5,5119923.5,1993535,2488253.5,2146952.25,2281865.75,2386278.25,2569585.75,0,0,2387806.75,4833262.5,1582757.75,2332069.75,72260320,13078832,2061782.25,1805917.25,0,2631741.25,11557615,1858699.125,2820737.25,0,7233078,8111415.5,5321866.5,2329795.25,6581230.5,4735212.5,13257268
x47,3430235,908715.3125,5472805,1918906.875,1432577.25,2154305.75,1881021.125,1551743.625,3193469,2291264.5,16796294,3374461.25,0,2237184.25,1872634.375,2089488.5,2980891.75,501610.4063,2509386.25,2403349,2065984.75,2362586.5,2498277.5,4020140.5,14384910,2586432,1451377.5,2001134.125,0,2206903,0,2020016.875,0,3362406.75,0,2707326.5,20852010,4390555.5,1720581.875,0,0,0,5550906.5,2737664.75,2010571.375,4064194.25,0,3528852,3556477.5,2790735.5,3530541.5,2785448.25,7783619
x49,9914080,107092296,8306722,3848332,2789454.5,2818034,1945982.75,2177573.5,1241607.75,2790864,32947280,0,3152428,5145251,2652957.75,3811465.75,2923544.5,1238345.5,2147742.75,2068285.25,2883975.5,3694293.75,1898269.625,5264615,958806.5625,2682696.5,2828820.25,2629609.75,1860765.25,2798838.5,2352295,0,2944170,4678370.5,2373945.5,2286597.25,80823880,15239818,2329139.5,1983911.25,0,2644947,11045990,1991248.125,4354444,0,8261541,7536862,5481085,2920593.5,7826579,5525090,16509035
x56,15502984.8,89946016,6621938,4375400,3045555.5,2830688.5,1817733.625,2321127,4653450,3419868,22254254.38,5314842,0,3165123.25,2202463.5,3816096.25,178054.1094,1004782.625,1626932.375,2074221.5,3391897.25,3967176.25,1450215.125,7616152,2300809.25,2467527,2270895.75,2719881.75,1801398.625,2587043.25,2705366.25,0,2781297,6748990,2278626,2445303.25,84288104,15005422,2157599,2013035.375,0,2468462.75,8452541,2463876.75,3816215.75,2901731.75,3898653.5,5888071,4538183.5,2298487.75,6376264,4769892.5,9521367
x57,13304204,115556488,5712432,3539731,3165136,2808876.75,2085496.625,3100457.25,5197731,3285955.5,17119253.79,0,3508066.5,4423886,2479880.25,3082162.25,3074880.25,2943251.5,1765957.25,2082817.375,3252252.5,3381605.25,2076576.75,4201191,3062903.75,2362636.5,2211117,2619527,1882811.375,2119667,1959162.75,0,3096746.75,2295877,1676510.25,4883238.5,271017728,67236712,2190766.25,3525083.5,2382435,0,8525264,1821224.625,1917622.25,0,6622560,6003357,4760568.5,2900411.5,7044042,5260497.5,10237157
x59,16380547.15,115632640,6144857,4283928.5,2702115.5,2767270,2161807.75,2339720,4663060,3369694.25,19246604,3009612.5,0,5208410.5,2342015.5,3231776,3386225.75,3417958.75,1770569.5,2572028.75,3501611,3653738,2486165.5,6883673.5,1887193.75,2358332.5,2254796,2398464.25,2070030.625,2687142.25,2741793.75,0,3021799.75,5957201,2448196.5,2359325.75,59997672,9962980,2220929,1700257.875,0,2457652.25,8663547,1724873.25,3215414,0,5997380,6854774,4858804.5,1856993.5,6949704,5256838.5,10916439
x60,16227984,135557440,8551103,3926061.5,2939390.5,2810941.25,2125357.5,2257688,5661270,3580026.5,32867384,0,3433273.5,5220820.5,2518836.5,3910020,224591.375,2393326.75,1808947.25,2047430.875,3013616.25,4148633.25,2021186.375,7237191,1490430.5,2305354.25,2405156.25,2740520,2232122.25,2722644,2681882.5,0,2489042.5,6684020.5,2276154,2318922,50120976,8344528.5,2476918.75,1298736.375,0,2742116,9435837,2357583,5341774.5,0,7389045,6054853,4547045,2004879.875,6768971.5,5015187.5,11485501
x67,13987661,117027984,7030531.5,4401467,2827500.5,2727288.25,2102769.25,2533924.25,4796029.5,3474244.5,24299080,0,3134431,5644744,2286207.25,3435512.75,3299580.25,3477365.75,2225058,2603424.25,3221945.25,3772875,2885908,5711711.5,1830662.375,2651155.5,2703197,2426976,1908532,2656498,2580588,0,2965024.5,4753973.5,2284155,2257513,55780660,9432265,2229198.75,1825827.875,0,2723035.5,9676093,2004626.875,3935560.5,0,6728081,7890561,5038140.5,1727077.75,7652403,5546378.5,12467330
x68,17088986,95248008,6051151,3870605.75,1912511.125,2767573.25,2536786.5,2170884,5367028.5,2998449.5,21243684,0,3102243.75,4648303,2388768.25,4082411.5,1715375.125,175492.5938,2363081.25,0,3322620.5,4151014.5,1370033.875,7069802.5,1540138.75,2563852,2288134.5,2669030.5,2278943,2762402.5,0,0,2313364.25,6060878,2146290,2119148.5,69171184,12367215,2336645.75,1665132.375,0,2741486.75,9083798,1963402.125,2243363.25,0,7355105,5742319,4922893.5,1905532.25,6294853.5,4645058,11274484
x71,15281544,101449360,8332005,4458004,2969198.5,2880180.75,1969354,2086502.5,5333623.5,3551427.5,14903452,0,3269377.5,4613778,2560109.5,3526068,4.09E+12,3292839.25,2439619.5,1987945.125,3384583,4108131.5,2061019.125,6564078,1646121.5,2698062.75,1812763.375,2766952.75,2173619.5,2917386.75,0,0,2728471,6227036.5,2425999.5,2399003.25,79891784,13239040,2283188,1844723,0,2591936.5,7365789.5,1836379.25,2814656.25,0,6633485,5340923,4379036.5,2810503.75,8148746.5,5995828.5,10708355
x73,11559320,110092151.1,7361846,3357732,3538553,2824604.25,1821809.25,2392086.75,5421043,3014998.25,22200958,0,3152656,6722822,2282366.5,4217702,2092135.25,3201743.75,2375535.75,2215338.25,2974838,3480181.5,1349480.875,5944486,1672786.75,2300568.75,2136857.75,2622467,2283639,1820889.75,2162433,0,3437286.5,5804892.5,2263828,2389703,78682360,13829099,2497336,1879267,0,1641599.5,11554753,1920559.375,2970087,0,8687740,8025901,5721772,2912061.5,7049178,5102361,10875142
x82,4615273,65923116,4667972,4592463,2587961.5,2359723.5,2056767,994722.4375,3309950.75,2765395.75,22646292,3088070.25,0,3109883.25,1942449.375,2651923.75,1999824.125,37042.11719,1568914.375,2248435,2500434.75,2483398,2570604.5,4895961.5,1599533.125,1740422,1484330.75,2256271.75,0,1772377.25,0,2518245,0,3965631.75,1579732.375,1737261.875,38828764,6935139.5,1776024.5,0,0,2597750.5,6481633.5,1826365.875,2379481.75,4731022,0,5409072,3459612.5,2828834.5,4937225,3724717,8190577.5
x84,16424168.08,117400416,7717431.5,3749380.5,2861682,2855484,1795516.875,2338942,7103187.5,3639086.25,20941096,4610088.789,4497882.913,0,2894141.75,4024533,3125806.25,1049822.75,1860564.125,2205578.25,2929733.5,4420123.5,2529484.5,5099437,2100769.75,3055560,2805152.25,2877167.5,2504479.5,3200927.5,2721498.5,0,2854606.75,4485743.5,2402320,2483759.75,66910232,11713535,2890522.75,1703797.125,0,2235252.75,8523419,1789419,4303770.5,0,6916739,6315405.5,4564904,3119331.5,5745462.5,4342337.5,9732917
x85,16317632,120982344,5663656,3352268.5,2193474,3250606.5,2491082.75,2226032.5,3247312,3343087.5,22675910,2240788.25,0,5711631,2765076.5,2225758,3783413.75,2038562.625,674094,5741591.5,3041688.5,3591285,2051418.375,7843396,2112730.25,2485534,1954248.5,2361264.25,1488439.75,1584390.125,0,3721881.75,0,6486933,1497600.375,2414960,89629648,16064191,2437142.75,2065983,0,2607237.75,10224616,1930154.5,3553543.5,1396909.5,7758194.5,8592678,5072157.5,1933398.875,9269962,6372490,9894082
x86,19549100.41,119478728,9703061,4243174,3370226.75,3034620.5,2196338.75,2336051,6305072,3819285,10430216,0,6639271.5,3311521.25,2887908,4420630,968251.6875,3302939.5,1762670.625,1982481.75,2980553,3838338.25,2529142,6332029,1619716,2698671.5,2702704.25,2857767.25,1616309,2729437.75,2724419,0,3118839.25,1566949.625,2187023.5,3634874.25,222954544,45742740,2239015.75,3015158.25,2113565.5,2526070.75,10368685,2026938.875,4297205,0,8529606,6985788.5,5120788,2306619.25,9263695,6496326.5,12611018
x88,13701355,82647640,8388343,4630408.5,2702021.5,2722678.25,2041051.375,1932977.25,3588960.25,2968063.5,14084275,2705586.833,0,1761131.98,2605327.5,6650627,2908135.75,2952287.75,1809290,2210863.25,3183085.5,3863793.5,1973515.875,7332067.5,3949283.75,2228598.25,2197619.5,2375189.5,2199093.5,2351447.75,0,0,2522089,4966002.5,1786358,2564440.5,95429656,17007416,2080961.375,1949872.125,0,2286219.75,7194570.5,1907141.25,2856051.75,0,5189895.5,4764819,4258440.5,2698153,8688073,5849317.515,11593446
x89,13768348,107989528,7207279.5,4609996,3028319.75,2855830.5,2080555.125,1959453.875,4917159,3502637.75,3571810,3105902,0,5329015,2273324.25,3670767.25,1449572.875,1268264.25,2179778.5,2510789.75,3292512.5,4195132,1988496.125,7491199.5,1607371.25,2297407.75,2302510.75,2391419.25,1962326.125,2448124,1974927.625,0,3498899.75,4789621,2181090,2436266.75,81699896,14196582,2218555.25,1857652.625,0,2464697.75,7672406.5,2155787.25,3349721.5,0,6215822,5793609,4634955.5,2947998,8022574,5851495,10515107
x90,12015272,3792755.75,7495537.5,4609863,2420645,2725948,1950919.875,3276600,4096515.75,3166595.75,5809522.5,0,4112881.25,2412530.25,2328031.75,3063853.75,1309618.5,828138.75,1653045,2225742,3074139,3666465.25,999325.25,5706629,2279843.25,2139648,2156822.25,2118551.25,2101190,1799737.75,0,0,2422702.5,4640880.5,2313284.5,2129411,88153472,16317465,2044135.375,1767305.5,0,0,6672077,1687488.75,2712944.25,0,4871865.5,4747714.5,4255339.5,3180427.75,6365764,4801440.5,11012159
x91,14484942,96658040,9024996,4571329,3061988.5,2778443,1774005.5,1994596.25,5159795,3528304,5409658,3859728.086,3521154.757,0,2420408.25,4283182.5,597598.875,2684587.25,1752006.75,2309536,3097745.75,4438953.5,1688260.25,6088881,1163528.125,2570304,2112400.75,2854304.75,1798436.25,2664844.75,0,0,2608802.75,5999419,1553211.25,2475447.25,104675560,18994636,2418675.25,1965491.875,0,2380126.5,7265054,1821771.5,2923664.25,0,6253617.5,4648671.5,3982050.75,1844450.375,6617059.5,4923120,10425637
x92,14224067,92883376,7406501,4200302.5,2527672,2802544.25,1768755.875,8784490,4897400,3547297,14662670,3101105.5,0,4424380.5,2744338,4766627,3111132.5,3149827.5,1800299.25,2136120.5,3793347.5,4205583.5,1693094.25,7401735,1232474,2607133,2290618.5,2741818.75,1981037.25,2631521.5,2160979.25,0,2692328.75,6434065,2405510.75,2323725.25,75547544,13217881,2400930.75,2113062.5,0,2409481,8070539.5,2085483.625,1794734.875,0,6492527,4480961,4366602,2238585.75,7016770,5134659,9791655
x93,17605788,143295024,9121334,3990151.75,3259083.25,2887468.75,2014053.875,2356618.5,5160154,3790650.25,15522944,3417101.75,0,6646153,2411142.5,3821962.25,1827645,1062996.125,2156883,2142983.5,3379634.75,4152596.75,1656473.75,8284620.5,1787907.625,2845451.5,2533491.25,2893676.75,2492932.25,3152508.5,2830007.75,0,2953556.25,5773844,1585498.25,2333809.25,83770992,13964502,2475205.75,1932201.75,0,1788719.25,10739824,2086628.875,2752616,0,8443909,9772758,5425215.5,1743207.75,9571235,6843498,10656612
x95,16065134,71095351.34,7040950.5,3509353.5,3013114.75,2871945.25,1885871.375,2341101,5948424,3710432.5,26887084.46,7442851,2111238.5,0,2647915.5,3173956.5,3370750,1499252.875,2182043,1974075.25,2837850.25,3483386.5,2115435,4659498,1475017.375,2468667,2257273,2919814.25,3623505,2745184.75,2626303,2914752.75,0,4949934.5,2554297.5,2182115.25,65157888,11026813,2279421.5,1710129.5,0,2516967.25,9723729,1995717.125,3172549.75,6663867.5,0,6702926,4974389,1964555.375,8733214,6262851,12291265
x96,16711907,137074752,9474279,4416063,3142193,2941275,1745850.125,2154608.75,746633.25,3662190.5,6057511.986,5342592.852,0,5342592.852,2601965.5,4071832.5,479636.7188,2794960.75,1760962.5,2177821.25,3344565.25,4506811,2145968,5464428,1481493.75,2995985.5,2296822.75,2918987.75,3376345,3279666.25,2291444.5,2834501,0,7342991,2202800.25,2456165,84121448,14284316,2450570.75,2135208.75,0,2470001.25,9605004,1851188,3408286.5,7949690,0,5628696,4895205.5,2740801.25,7946196,5852363.5,14657978
x97,18423100.42,119942136,7014795.5,3919328.5,2856344.25,2815206.25,2493268.5,1982178.875,5346603,3700311.5,5974045,5312754.195,3394632.193,0,2487916,3743899.25,3049192.25,1125448.25,1989199.5,1650898.875,3599998.5,3847727.25,1757203.875,7220436.5,1667266.125,2262982,2169370.25,2872837.25,2211286.75,2569349.5,2734513.25,0,2644741.75,8159302,2399434.5,2282618.25,60264012,10478901,2357789,1744518.875,0,2287188.25,7674920,1807634.625,4570807.5,0,6434853,5400897.5,4802087.5,1868312.875,6718806,5063943,13697071
x98,12181155,93986400,7940735.5,4265846,2803796.5,2870224.25,1905455.5,2090883,5127755,3061595.25,26430674.05,4022744.437,4440095.809,0,2497706.25,3483794.5,2024240.375,3094824.75,2589367.25,2592657.5,2951044.5,3718632.25,1475449.5,7322807.5,1739646.5,2632614.25,2120222,2700918.25,1803775.25,2928163,2197841.75,0,2406259.25,4680796.5,1897718.75,1974565.625,80300976,14479462,2239931.25,1816674.75,0,2527884,6708265.5,1897040.875,3533172.25,0,7041035,5772018,4843142.5,2580741.5,6656165,4915583,14596919
x99,11869583,116472664,8101324.5,4228467,2833773,2837950.5,1732279.875,2224395,5596492.5,2975037,16921186,3995957.103,0,2711145.84,2832958.25,4589618,476366.3125,3381194.5,2122869,2233191.75,2859071,3811701.5,1526645.75,7523785,2846465.5,2980018.5,2508226,2909041.75,2053701.375,3195141.75,2403332.25,0,2573998.75,6204388.5,2294933,2456141.25,119579368,23493510,2780824,2220058.25,0,1996099.5,8457754,1714037.25,4060145,0,6295649,4858990,4826185.5,3010108.75,7001737.5,5166296.5,12686935
